County Name,County Name [Public School] 2015-16,County Number [Public School] 2015-16,Total Number of Public Schools [Public School] 2015-16
Madison County MT  ,Madison County,30057,13
Madison County NC  ,Madison County,37115,7
Madison County NE  ,Madison County,31119,23
Madison County NY  ,Madison County,36053,26
Madison County OH  ,Madison County,39097,17
Madison County TN  ,Madison County,47113,28
Madison County TX  ,Madison County,48313,5
Madison County VA  ,Madison County,51113,4
Madison Parish LA  ,Madison Parish,22065,6
Magoffin County KY  ,Magoffin County,21153,5
Mahaska County IA  ,Mahaska County,19123,7
Mahnomen County MN  ,Mahnomen County,27087,8
Mahoning County OH  ,Mahoning County,39099,72
Major County OK  ,Major County,40093,6
Malheur County OR  ,Malheur County,41045,25
Manassas city VA  ,Manassas city,51683,10
Manassas Park city VA  ,Manassas Park city,51685,5
Manatee County FL  ,Manatee County,12081,82
Manistee County MI  ,Manistee County,26101,15
Manitowoc County WI  ,Manitowoc County,55071,33
Marathon County WI  ,Marathon County,55073,51
Marengo County AL  ,Marengo County,01091,10
Maricopa County AZ  ,Maricopa County,04013,1250
Maries County MO  ,Maries County,29125,4
Marin County CA  ,Marin County,06041,77
Marinette County WI  ,Marinette County,55075,24
Marion County AL  ,Marion County,01093,15
Marion County AR  ,Marion County,05089,8
Marion County FL  ,Marion County,12083,69
Marion County GA  ,Marion County,13197,2
Marion County IA  ,Marion County,19125,18
Marion County IL  ,Marion County,17121,29
Marion County IN  ,Marion County,18097,252
Marion County KS  ,Marion County,20115,10
Marion County KY  ,Marion County,21155,9
Marion County MO  ,Marion County,29127,14
Marion County MS  ,Marion County,28091,10
Marion County OH  ,Marion County,39101,27
Marion County OR  ,Marion County,41047,111
Marion County SC  ,Marion County,45067,11
Marion County TN  ,Marion County,47115,11
Marion County TX  ,Marion County,48315,4
Marion County WV  ,Marion County,54049,22
Mariposa County CA  ,Mariposa County,06043,17
Marlboro County SC  ,Marlboro County,45069,8
Marquette County MI  ,Marquette County,26103,25
Marquette County WI  ,Marquette County,55077,10
Marshall County AL  ,Marshall County,01095,35
Marshall County IA  ,Marshall County,19127,16
Marshall County IL  ,Marshall County,17123,8
Marshall County IN  ,Marshall County,18099,17
Marshall County KS  ,Marshall County,20117,9
Marshall County KY  ,Marshall County,21157,12
Marshall County MN  ,Marshall County,27089,13
Marshall County MS  ,Marshall County,28093,16
Marshall County OK  ,Marshall County,40095,6
Marshall County SD  ,Marshall County,46091,10
Marshall County TN  ,Marshall County,47117,10
Marshall County WV  ,Marshall County,54051,13
Martin County FL  ,Martin County,12085,38
Martin County IN  ,Martin County,18101,5
Martin County KY  ,Martin County,21159,7
Martin County MN  ,Martin County,27091,12
Martin County NC  ,Martin County,37117,12
Martin County TX  ,Martin County,48317,4
Martinsville city VA  ,Martinsville city,51690,5
Mason County IL  ,Mason County,17125,9
Mason County KY  ,Mason County,21161,5
Mason County MI  ,Mason County,26105,15
Mason County TX  ,Mason County,48319,3
Mason County WA  ,Mason County,53045,22
Mason County WV  ,Mason County,54053,12
Massac County IL  ,Massac County,17127,10
Matagorda County TX  ,Matagorda County,48321,18
Matanuska-Susitna Borough AK  ,Matanuska-Susitna Borough,02170,45
Mathews County VA  ,Mathews County,51115,3
Maui County HI  ,Maui County,15009,33
Maury County TN  ,Maury County,47119,21
Maverick County TX  ,Maverick County,48323,24
Mayes County OK  ,Mayes County,40097,23
McClain County OK  ,McClain County,40087,22
McCone County MT  ,McCone County,30055,6
McCook County SD  ,McCook County,46087,13
McCormick County SC  ,McCormick County,45065,4
McCracken County KY  ,McCracken County,21145,23
McCreary County KY  ,McCreary County,21147,7
McCulloch County TX  ,McCulloch County,48307,6
McCurtain County OK  ,McCurtain County,40089,29
McDonald County MO  ,McDonald County,29119,11
McDonough County IL  ,McDonough County,17109,15
McDowell County NC  ,McDowell County,37111,13
McDowell County WV  ,McDowell County,54047,11
McDuffie County GA  ,McDuffie County,13189,6
McHenry County IL  ,McHenry County,17111,86
McHenry County ND  ,McHenry County,38049,8
McIntosh County GA  ,McIntosh County,13191,4
McIntosh County ND  ,McIntosh County,38051,6
McIntosh County OK  ,McIntosh County,40091,11
McKean County PA  ,McKean County,42083,14
McKenzie County ND  ,McKenzie County,38053,7
McKinley County NM  ,McKinley County,35031,44
McLean County IL  ,McLean County,17113,57
McLean County KY  ,McLean County,21149,5
McLean County ND  ,McLean County,38055,14
McLennan County TX  ,McLennan County,48309,130
McLeod County MN  ,McLeod County,27085,19
McMinn County TN  ,McMinn County,47107,15
McMullen County TX  ,McMullen County,48311,1
McNairy County TN  ,McNairy County,47109,8
McPherson County KS  ,McPherson County,20113,18
McPherson County NE  ,McPherson County,31117,2
McPherson County SD  ,McPherson County,46089,8
Meade County KS  ,Meade County,20119,5
Meade County KY  ,Meade County,21163,11
Meade County SD  ,Meade County,46093,16
Meagher County MT  ,Meagher County,30059,3
Mecklenburg County NC  ,Mecklenburg County,37119,196
Mecklenburg County VA  ,Mecklenburg County,51117,9
Mecosta County MI  ,Mecosta County,26107,17
Medina County OH  ,Medina County,39103,43
Medina County TX  ,Medina County,48325,21
Meeker County MN  ,Meeker County,27093,14
Meigs County OH  ,Meigs County,39105,8
Meigs County TN  ,Meigs County,47121,4
Mellette County SD  ,Mellette County,46095,5
Menard County IL  ,Menard County,17129,8
Menard County TX  ,Menard County,48327,3
Mendocino County CA  ,Mendocino County,06045,70
Menifee County KY  ,Menifee County,21165,3
Menominee County MI  ,Menominee County,26109,16
Menominee County WI  ,Menominee County,55078,3
Merced County CA  ,Merced County,06047,113
Mercer County IL  ,Mercer County,17131,8
Mercer County KY  ,Mercer County,21167,10
Mercer County MO  ,Mercer County,29129,4
Mercer County ND  ,Mercer County,38057,7
Mercer County NJ  ,Mercer County,34021,107
Mercer County OH  ,Mercer County,39107,22
Mercer County PA  ,Mercer County,42085,40
Mercer County WV  ,Mercer County,54055,27
Meriwether County GA  ,Meriwether County,13199,8
Merrick County NE  ,Merrick County,31121,10
Merrimack County NH  ,Merrimack County,33013,59
Mesa County CO  ,Mesa County,08077,54
Metcalfe County KY  ,Metcalfe County,21169,3
Miami County IN  ,Miami County,18103,11
Miami County KS  ,Miami County,20121,14
Miami County OH  ,Miami County,39109,38
Miami-Dade County FL  ,Miami-Dade County,12086,533
Middlesex County CT  ,Middlesex County,09007,70
Middlesex County MA  ,Middlesex County,25017,380
Middlesex County NJ  ,Middlesex County,34023,200
Middlesex County VA  ,Middlesex County,51119,3
Midland County MI  ,Midland County,26111,26
Midland County TX  ,Midland County,48329,46
Mifflin County PA  ,Mifflin County,42087,12
Milam County TX  ,Milam County,48331,17
Millard County UT  ,Millard County,49027,10
Mille Lacs County MN  ,Mille Lacs County,27095,21
Miller County AR  ,Miller County,05091,16
Miller County GA  ,Miller County,13201,3
Miller County MO  ,Miller County,29131,16
Mills County IA  ,Mills County,19129,6
Mills County TX  ,Mills County,48333,7
Milwaukee County WI  ,Milwaukee County,55079,288
Miner County SD  ,Miner County,46097,4
Mineral County CO  ,Mineral County,08079,1
Mineral County MT  ,Mineral County,30061,9
Mineral County NV  ,Mineral County,32021,5
Mineral County WV  ,Mineral County,54057,14
Mingo County WV  ,Mingo County,54059,12
Minidoka County ID  ,Minidoka County,16067,12
Minnehaha County SD  ,Minnehaha County,46099,78
Missaukee County MI  ,Missaukee County,26113,6
Mississippi County AR  ,Mississippi County,05093,22
Mississippi County MO  ,Mississippi County,29133,8
Missoula County MT  ,Missoula County,30063,41
Mitchell County GA  ,Mitchell County,13205,8
Mitchell County IA  ,Mitchell County,19131,6
Mitchell County KS  ,Mitchell County,20123,6
Mitchell County NC  ,Mitchell County,37121,6
Mitchell County TX  ,Mitchell County,48335,12
Mobile County AL  ,Mobile County,01097,102
Modoc County CA  ,Modoc County,06049,15
Moffat County CO  ,Moffat County,08081,8
Mohave County AZ  ,Mohave County,04015,71
Moniteau County MO  ,Moniteau County,29135,10
Monmouth County NJ  ,Monmouth County,34025,188
Mono County CA  ,Mono County,06051,14
Monona County IA  ,Monona County,19133,7
Monongalia County WV  ,Monongalia County,54061,19
Monroe County AL  ,Monroe County,01099,9
Monroe County AR  ,Monroe County,05095,4
Monroe County FL  ,Monroe County,12087,25
Monroe County GA  ,Monroe County,13207,6
Monroe County IA  ,Monroe County,19135,5
Monroe County IL  ,Monroe County,17133,13
Monroe County IN  ,Monroe County,18105,30
Monroe County KY  ,Monroe County,21171,7
Monroe County MI  ,Monroe County,26115,51
Monroe County MO  ,Monroe County,29137,10
Monroe County MS  ,Monroe County,28095,14
Monroe County NY  ,Monroe County,36055,185
Monroe County OH  ,Monroe County,39111,8
Monroe County PA  ,Monroe County,42089,32
Monroe County TN  ,Monroe County,47123,17
Monroe County WI  ,Monroe County,55081,27
Monroe County WV  ,Monroe County,54063,5
Montague County TX  ,Montague County,48337,14
Montcalm County MI  ,Montcalm County,26117,33
Monterey County CA  ,Monterey County,06053,145
Montezuma County CO  ,Montezuma County,08083,19
Montgomery County AL  ,Montgomery County,01101,63
Montgomery County AR  ,Montgomery County,05097,6
Montgomery County GA  ,Montgomery County,13209,4
Montgomery County IA  ,Montgomery County,19137,10
Montgomery County IL  ,Montgomery County,17135,17
Montgomery County IN  ,Montgomery County,18107,15
Montgomery County KS  ,Montgomery County,20125,12
Montgomery County KY  ,Montgomery County,21173,12
Montgomery County MD  ,Montgomery County,24031,207
Montgomery County MO  ,Montgomery County,29139,7
Montgomery County MS  ,Montgomery County,28097,5
Montgomery County NC  ,Montgomery County,37123,11
Montgomery County NY  ,Montgomery County,36057,17
Montgomery County OH  ,Montgomery County,39113,159
Montgomery County PA  ,Montgomery County,42091,158
Montgomery County TN  ,Montgomery County,47125,39
Montgomery County TX  ,Montgomery County,48339,131
Montgomery County VA  ,Montgomery County,51121,24
Montmorency County MI  ,Montmorency County,26119,4
Montour County PA  ,Montour County,42093,6
Montrose County CO  ,Montrose County,08085,18
Moody County SD  ,Moody County,46101,7
Moore County NC  ,Moore County,37125,25
Moore County TN  ,Moore County,47127,2
Moore County TX  ,Moore County,48341,12
Mora County NM  ,Mora County,35033,6
Morehouse Parish LA  ,Morehouse Parish,22067,10
Morgan County AL  ,Morgan County,01103,45
Morgan County CO  ,Morgan County,08087,18
Morgan County GA  ,Morgan County,13211,4
Morgan County IL  ,Morgan County,17137,26
Morgan County IN  ,Morgan County,18109,23
Morgan County KY  ,Morgan County,21175,9
Morgan County MO  ,Morgan County,29141,6
Morgan County OH  ,Morgan County,39115,5
Morgan County TN  ,Morgan County,47129,8
Morgan County UT  ,Morgan County,49029,5
Morgan County WV  ,Morgan County,54065,8
Morrill County NE  ,Morrill County,31123,4
Morris County KS  ,Morris County,20127,6
Morris County NJ  ,Morris County,34027,155
Morris County TX  ,Morris County,48343,7
Morrison County MN  ,Morrison County,27097,23
Morrow County OH  ,Morrow County,39117,13
Morrow County OR  ,Morrow County,41049,9
Morton County KS  ,Morton County,20129,7
Morton County ND  ,Morton County,38059,24
Motley County TX  ,Motley County,48345,1
Moultrie County IL  ,Moultrie County,17139,7
Mountrail County ND  ,Mountrail County,38061,9
Mower County MN  ,Mower County,27099,24
Muhlenberg County KY  ,Muhlenberg County,21177,11
Multnomah County OR  ,Multnomah County,41051,166
Murray County GA  ,Murray County,13213,11
Murray County MN  ,Murray County,27101,4
Murray County OK  ,Murray County,40099,9
Muscatine County IA  ,Muscatine County,19139,17
Muscogee County GA  ,Muscogee County,13215,55
Muskegon County MI  ,Muskegon County,26121,67
Muskingum County OH  ,Muskingum County,39119,31
Muskogee County OK  ,Muskogee County,40101,39
Musselshell County MT  ,Musselshell County,30065,6
Nacogdoches County TX  ,Nacogdoches County,48347,35
Nance County NE  ,Nance County,31125,4
Nantucket County MA  ,Nantucket County,25019,3
Napa County CA  ,Napa County,06055,46
Nash County NC  ,Nash County,37127,26
Nassau County FL  ,Nassau County,12089,22
Nassau County NY  ,Nassau County,36059,315
Natchitoches Parish LA  ,Natchitoches Parish,22069,18
Natrona County WY  ,Natrona County,56025,36
Navajo County AZ  ,Navajo County,04017,77
Navarro County TX  ,Navarro County,48349,25
Nelson County KY  ,Nelson County,21179,18
Nelson County ND  ,Nelson County,38063,4
Nelson County VA  ,Nelson County,51125,4
Nemaha County KS  ,Nemaha County,20131,9
Nemaha County NE  ,Nemaha County,31127,8
Neosho County KS  ,Neosho County,20133,10
Neshoba County MS  ,Neshoba County,28099,6
Ness County KS  ,Ness County,20135,5
Nevada County AR  ,Nevada County,05099,5
Nevada County CA  ,Nevada County,06057,53
New Castle County DE  ,New Castle County,10003,130
New Hanover County NC  ,New Hanover County,37129,46
New Haven County CT  ,New Haven County,09009,278
New Kent County VA  ,New Kent County,51127,6
New London County CT  ,New London County,09011,111
New Madrid County MO  ,New Madrid County,29143,13
New York County NY  ,New York County,36061,373
Newaygo County MI  ,Newaygo County,26123,23
Newberry County SC  ,Newberry County,45071,14
Newport County RI  ,Newport County,44005,22
Newport News city VA  ,Newport News city,51700,51
Newton County AR  ,Newton County,05101,8
Newton County GA  ,Newton County,13217,23
Newton County IN  ,Newton County,18111,7
Newton County MO  ,Newton County,29145,23
Newton County MS  ,Newton County,28101,11
Newton County TX  ,Newton County,48351,8
Nez Perce County ID  ,Nez Perce County,16069,17
Niagara County NY  ,Niagara County,36063,51
Nicholas County KY  ,Nicholas County,21181,2
Nicholas County WV  ,Nicholas County,54067,15
Nicollet County MN  ,Nicollet County,27103,23
Niobrara County WY  ,Niobrara County,56027,4
Noble County IN  ,Noble County,18113,16
Noble County OH  ,Noble County,39121,4
Noble County OK  ,Noble County,40103,10
Nobles County MN  ,Nobles County,27105,15
Nodaway County MO  ,Nodaway County,29147,17
Nolan County TX  ,Nolan County,48353,10
Nome Census Area AK  ,Nome Census Area,02180,20
Norfolk city VA  ,Norfolk city,51710,59
Norfolk County MA  ,Norfolk County,25021,193
Norman County MN  ,Norman County,27107,7
North Slope Borough AK  ,North Slope Borough,02185,11
Northampton County NC  ,Northampton County,37131,8
Northampton County PA  ,Northampton County,42095,62
Northampton County VA  ,Northampton County,51131,6
Northumberland County PA  ,Northumberland County,42097,25
Northumberland County VA  ,Northumberland County,51133,4
Northwest Arctic Borough AK  ,Northwest Arctic Borough,02188,13
Norton city VA  ,Norton city,51720,2
Norton County KS  ,Norton County,20137,5
Nottoway County VA  ,Nottoway County,51135,6
Nowata County OK  ,Nowata County,40105,8
Noxubee County MS  ,Noxubee County,28103,7
Nuckolls County NE  ,Nuckolls County,31129,6
Nueces County TX  ,Nueces County,48355,124
Nye County NV  ,Nye County,32023,27
O'Brien County IA  ,O'Brien County,19141,8
Oakland County MI  ,Oakland County,26125,355
Obion County TN  ,Obion County,47131,11
Ocean County NJ  ,Ocean County,34029,118
Oceana County MI  ,Oceana County,26127,10
Ochiltree County TX  ,Ochiltree County,48357,6
Oconee County GA  ,Oconee County,13219,10
Oconee County SC  ,Oconee County,45073,19
Oconto County WI  ,Oconto County,55083,23
Ogemaw County MI  ,Ogemaw County,26129,6
Oglala Lakota County SD  ,†,†,†
Ogle County IL  ,Ogle County,17141,26
Oglethorpe County GA  ,Oglethorpe County,13221,4
Ohio County IN  ,Ohio County,18115,3
Ohio County KY  ,Ohio County,21183,11
Ohio County WV  ,Ohio County,54069,14
Okaloosa County FL  ,Okaloosa County,12091,51
Okanogan County WA  ,Okanogan County,53047,33
Okeechobee County FL  ,Okeechobee County,12093,16
Okfuskee County OK  ,Okfuskee County,40107,14
Oklahoma County OK  ,Oklahoma County,40109,229
Okmulgee County OK  ,Okmulgee County,40111,23
Oktibbeha County MS  ,Oktibbeha County,28105,20
Oldham County KY  ,Oldham County,21185,21
Oldham County TX  ,Oldham County,48359,8
Oliver County ND  ,Oliver County,38065,2
Olmsted County MN  ,Olmsted County,27109,67
Oneida County ID  ,Oneida County,16071,6
Oneida County NY  ,Oneida County,36065,78
Oneida County WI  ,Oneida County,55085,16
Onondaga County NY  ,Onondaga County,36067,124
Onslow County NC  ,Onslow County,37133,36
Ontario County NY  ,Ontario County,36069,29
Ontonagon County MI  ,Ontonagon County,26131,3
Orange County CA  ,Orange County,06059,617
Orange County FL  ,Orange County,12095,270
Orange County IN  ,Orange County,18117,8
Orange County NC  ,Orange County,37135,36
Orange County NY  ,Orange County,36071,83
Orange County TX  ,Orange County,48361,26
Orange County VA  ,Orange County,51137,11
Orange County VT  ,Orange County,50017,21
Orangeburg County SC  ,Orangeburg County,45075,32
Oregon County MO  ,Oregon County,29149,8
Orleans County NY  ,Orleans County,36073,13
Orleans County VT  ,Orleans County,50019,21
Orleans Parish LA  ,Orleans Parish,22071,90
Osage County KS  ,Osage County,20139,14
Osage County MO  ,Osage County,29151,6
Osage County OK  ,Osage County,40113,31
Osborne County KS  ,Osborne County,20141,6
Osceola County FL  ,Osceola County,12097,77
Osceola County IA  ,Osceola County,19143,3
Osceola County MI  ,Osceola County,26133,14
Oscoda County MI  ,Oscoda County,26135,4
Oswego County NY  ,Oswego County,36075,40
Otero County CO  ,Otero County,08089,14
Otero County NM  ,Otero County,35035,23
Otoe County NE  ,Otoe County,31131,9
Otsego County MI  ,Otsego County,26137,10
Otsego County NY  ,Otsego County,36077,22
Ottawa County KS  ,Ottawa County,20143,6
Ottawa County MI  ,Ottawa County,26139,93
Ottawa County OH  ,Ottawa County,39123,16
Ottawa County OK  ,Ottawa County,40115,22
Otter Tail County MN  ,Otter Tail County,27111,34
Ouachita County AR  ,Ouachita County,05103,10
Ouachita Parish LA  ,Ouachita Parish,22073,59
Ouray County CO  ,Ouray County,08091,6
Outagamie County WI  ,Outagamie County,55087,74
Overton County TN  ,Overton County,47133,9
Owen County IN  ,Owen County,18119,6
Owen County KY  ,Owen County,21187,3
Owsley County KY  ,Owsley County,21189,2
Owyhee County ID  ,Owyhee County,16073,9
Oxford County ME  ,Oxford County,23017,32
Ozark County MO  ,Ozark County,29153,9
Ozaukee County WI  ,Ozaukee County,55089,27
Pacific County WA  ,Pacific County,53049,20
Page County IA  ,Page County,19145,11
Page County VA  ,Page County,51139,10
Palm Beach County FL  ,Palm Beach County,12099,282
Palo Alto County IA  ,Palo Alto County,19147,10
Palo Pinto County TX  ,Palo Pinto County,48363,14
Pamlico County NC  ,Pamlico County,37137,5
Panola County MS  ,Panola County,28107,13
Panola County TX  ,Panola County,48365,10
Park County CO  ,Park County,08093,8
Park County MT  ,Park County,30067,16
Park County WY  ,Park County,56029,16
Parke County IN  ,Parke County,18121,7
Parker County TX  ,Parker County,48367,40
Parmer County TX  ,Parmer County,48369,11
Pasco County FL  ,Pasco County,12101,115
Pasquotank County NC  ,Pasquotank County,37139,13
Passaic County NJ  ,Passaic County,34031,153
Patrick County VA  ,Patrick County,51141,7
Paulding County GA  ,Paulding County,13223,34
Paulding County OH  ,Paulding County,39125,10
Pawnee County KS  ,Pawnee County,20145,7
Pawnee County NE  ,Pawnee County,31133,5
Pawnee County OK  ,Pawnee County,40117,8
Payette County ID  ,Payette County,16075,13
Payne County OK  ,Payne County,40119,30
Peach County GA  ,Peach County,13225,6
Pearl River County MS  ,Pearl River County,28109,21
Pecos County TX  ,Pecos County,48371,10
Pembina County ND  ,Pembina County,38067,13
Pemiscot County MO  ,Pemiscot County,29155,18
Pend Oreille County WA  ,Pend Oreille County,53051,9
Pender County NC  ,Pender County,37141,16
Pendleton County KY  ,Pendleton County,21191,4
Pendleton County WV  ,Pendleton County,54071,4
Pennington County MN  ,Pennington County,27113,6
Pennington County SD  ,Pennington County,46103,41
Penobscot County ME  ,Penobscot County,23019,73
Peoria County IL  ,Peoria County,17143,76
Pepin County WI  ,Pepin County,55091,4
Perkins County NE  ,Perkins County,31135,3
Perkins County SD  ,Perkins County,46105,6
Perquimans County NC  ,Perquimans County,37143,4
Perry County AL  ,Perry County,01105,5
Perry County AR  ,Perry County,05105,4
Perry County IL  ,Perry County,17145,12
Perry County IN  ,Perry County,18123,5
Perry County KY  ,Perry County,21193,18
Perry County MO  ,Perry County,29157,6
Perry County MS  ,Perry County,28111,8
Perry County OH  ,Perry County,39127,15
Perry County PA  ,Perry County,42099,15
Perry County TN  ,Perry County,47135,4
Pershing County NV  ,Pershing County,32027,5
Person County NC  ,Person County,37145,12
Petersburg Borough AK  ,Petersburg Borough,02195,3
Petersburg city VA  ,Petersburg city,51730,11
Petroleum County MT  ,Petroleum County,30069,3
Pettis County MO  ,Pettis County,29159,21
Phelps County MO  ,Phelps County,29161,15
Phelps County NE  ,Phelps County,31137,11
Philadelphia County PA  ,Philadelphia County,42101,310
Phillips County AR  ,Phillips County,05107,10
Phillips County CO  ,Phillips County,08095,5
Phillips County KS  ,Phillips County,20147,7
Phillips County MT  ,Phillips County,30071,13
Piatt County IL  ,Piatt County,17147,16
Pickaway County OH  ,Pickaway County,39129,19
Pickens County AL  ,Pickens County,01107,8
Pickens County GA  ,Pickens County,13227,7
Pickens County SC  ,Pickens County,45077,27
Pickett County TN  ,Pickett County,47137,2
Pierce County GA  ,Pierce County,13229,5
Pierce County ND  ,Pierce County,38069,5
Pierce County NE  ,Pierce County,31139,6
Pierce County WA  ,Pierce County,53053,284
Pierce County WI  ,Pierce County,55093,26
Pike County AL  ,Pike County,01109,11
Pike County AR  ,Pike County,05109,7
Pike County GA  ,Pike County,13231,4
Pike County IL  ,Pike County,17149,12
Pike County IN  ,Pike County,18125,5
Pike County KY  ,Pike County,21195,25
Pike County MO  ,Pike County,29163,12
Pike County MS  ,Pike County,28113,19
Pike County OH  ,Pike County,39131,15
Pike County PA  ,Pike County,42103,14
Pima County AZ  ,Pima County,04019,372
Pinal County AZ  ,Pinal County,04021,143
Pine County MN  ,Pine County,27115,14
Pinellas County FL  ,Pinellas County,12103,172
Pipestone County MN  ,Pipestone County,27117,9
Piscataquis County ME  ,Piscataquis County,23021,8
Pitkin County CO  ,Pitkin County,08097,7
Pitt County NC  ,Pitt County,37147,39
Pittsburg County OK  ,Pittsburg County,40121,32
Pittsylvania County VA  ,Pittsylvania County,51143,20
Piute County UT  ,Piute County,49031,5
Placer County CA  ,Placer County,06061,118
Plaquemines Parish LA  ,Plaquemines Parish,22075,8
Platte County MO  ,Platte County,29165,32
Platte County NE  ,Platte County,31141,15
Platte County WY  ,Platte County,56031,13
Pleasants County WV  ,Pleasants County,54073,5
Plumas County CA  ,Plumas County,06063,15
Plymouth County IA  ,Plymouth County,19149,17
Plymouth County MA  ,Plymouth County,25023,138
Pocahontas County IA  ,Pocahontas County,19151,6
Pocahontas County WV  ,Pocahontas County,54075,5
Poinsett County AR  ,Poinsett County,05111,15
Pointe Coupee Parish LA  ,Pointe Coupee Parish,22077,5
Polk County AR  ,Polk County,05113,9
Polk County FL  ,Polk County,12105,163
Polk County GA  ,Polk County,13233,11
Polk County IA  ,Polk County,19153,130
Polk County MN  ,Polk County,27119,20
Polk County MO  ,Polk County,29167,18
Polk County NC  ,Polk County,37149,7
Polk County NE  ,Polk County,31143,10
Polk County OR  ,Polk County,41053,24
Polk County TN  ,Polk County,47139,6
Polk County TX  ,Polk County,48373,19
Polk County WI  ,Polk County,55095,26
Pondera County MT  ,Pondera County,30073,16
Pontotoc County MS  ,Pontotoc County,28115,14
Pontotoc County OK  ,Pontotoc County,40123,23
Pope County AR  ,Pope County,05115,23
Pope County IL  ,Pope County,17151,2
Pope County MN  ,Pope County,27121,8
Poquoson city VA  ,Poquoson city,51735,4
Portage County OH  ,Portage County,39133,52
Portage County WI  ,Portage County,55097,30
Porter County IN  ,Porter County,18127,53
Portsmouth city VA  ,Portsmouth city,51740,26
Posey County IN  ,Posey County,18129,9
Pottawatomie County KS  ,Pottawatomie County,20149,12
Pottawatomie County OK  ,Pottawatomie County,40125,38
Pottawattamie County IA  ,Pottawattamie County,19155,34
Potter County PA  ,Potter County,42105,10
Potter County SD  ,Potter County,46107,6
Potter County TX  ,Potter County,48375,50
Powder River County MT  ,Powder River County,30075,6
Powell County KY  ,Powell County,21197,6
Powell County MT  ,Powell County,30077,9
Power County ID  ,Power County,16077,7
Poweshiek County IA  ,Poweshiek County,19157,10
Powhatan County VA  ,Powhatan County,51145,8
Prairie County AR  ,Prairie County,05117,4
Prairie County MT  ,Prairie County,30079,3
Pratt County KS  ,Pratt County,20151,6
Preble County OH  ,Preble County,39135,17
Prentiss County MS  ,Prentiss County,28117,13
Presidio County TX  ,Presidio County,48377,4
Presque Isle County MI  ,Presque Isle County,26141,8
Preston County WV  ,Preston County,54077,11
Price County WI  ,Price County,55099,10
Prince Edward County VA  ,Prince Edward County,51147,5
Prince George County VA  ,Prince George County,51149,10
Prince George's County MD  ,Prince George's County,24033,214
Prince of Wales-Hyder Census Area AK  ,Prince of Wales-Hyder Census Area,02198,23
Prince William County VA  ,Prince William County,51153,95
Providence County RI  ,Providence County,44007,195
Prowers County CO  ,Prowers County,08099,13
Pueblo County CO  ,Pueblo County,08101,61
Pulaski County AR  ,Pulaski County,05119,130
Pulaski County GA  ,Pulaski County,13235,3
Pulaski County IL  ,Pulaski County,17153,6
Pulaski County IN  ,Pulaski County,18131,6
Pulaski County KY  ,Pulaski County,21199,19
Pulaski County MO  ,Pulaski County,29169,21
Pulaski County VA  ,Pulaski County,51155,10
Pushmataha County OK  ,Pushmataha County,40127,13
Putnam County FL  ,Putnam County,12107,25
Putnam County GA  ,Putnam County,13237,4
Putnam County IL  ,Putnam County,17155,4
Putnam County IN  ,Putnam County,18133,17
Putnam County MO  ,Putnam County,29171,3
Putnam County NY  ,Putnam County,36079,21
Putnam County OH  ,Putnam County,39137,23
Putnam County TN  ,Putnam County,47141,21
Putnam County WV  ,Putnam County,54079,23
Quay County NM  ,Quay County,35037,12
Queen Anne's County MD  ,Queen Anne's County,24035,14
Queens County NY  ,Queens County,36081,372
Quitman County GA  ,Quitman County,13239,2
Quitman County MS  ,Quitman County,28119,4
Rabun County GA  ,Rabun County,13241,4
Racine County WI  ,Racine County,55101,60
Radford city VA  ,Radford city,51750,4
Rains County TX  ,Rains County,48379,4
Raleigh County WV  ,Raleigh County,54081,32
Ralls County MO  ,Ralls County,29173,4
Ramsey County MN  ,Ramsey County,27123,251
Ramsey County ND  ,Ramsey County,38071,12
Randall County TX  ,Randall County,48381,36
Randolph County AL  ,Randolph County,01111,11
Randolph County AR  ,Randolph County,05121,6
Randolph County GA  ,Randolph County,13243,3
Randolph County IL  ,Randolph County,17157,15
Randolph County IN  ,Randolph County,18135,13
Randolph County MO  ,Randolph County,29175,15
Randolph County NC  ,Randolph County,37151,40
Randolph County WV  ,Randolph County,54083,18
Rankin County MS  ,Rankin County,28121,35
Ransom County ND  ,Ransom County,38073,7
Rapides Parish LA  ,Rapides Parish,22079,53
Rappahannock County VA  ,Rappahannock County,51157,2
Ravalli County MT  ,Ravalli County,30081,22
Rawlins County KS  ,Rawlins County,20153,2
Ray County MO  ,Ray County,29177,12
Reagan County TX  ,Reagan County,48383,3
Real County TX  ,Real County,48385,3
Red Lake County MN  ,Red Lake County,27125,6
Red River County TX  ,Red River County,48387,12
Red River Parish LA  ,Red River Parish,22081,5
Red Willow County NE  ,Red Willow County,31145,7
Redwood County MN  ,Redwood County,27127,14
Reeves County TX  ,Reeves County,48389,6
Refugio County TX  ,Refugio County,48391,7
Reno County KS  ,Reno County,20155,30
Rensselaer County NY  ,Rensselaer County,36083,42
Renville County MN  ,Renville County,27129,9
Renville County ND  ,Renville County,38075,5
Republic County KS  ,Republic County,20157,5
Reynolds County MO  ,Reynolds County,29179,8
Rhea County TN  ,Rhea County,47143,8
Rice County KS  ,Rice County,20159,13
Rice County MN  ,Rice County,27131,31
Rich County UT  ,Rich County,49033,5
Richardson County NE  ,Richardson County,31147,6
Richland County IL  ,Richland County,17159,4
Richland County MT  ,Richland County,30083,16
Richland County ND  ,Richland County,38077,17
Richland County OH  ,Richland County,39139,44
